2025-04-11 18:38:37.700665,Minor Detected
2025-04-11 18:38:37.766943,Minor Detected
2025-04-11 18:38:37.837684,Minor Detected
2025-04-11 18:38:38.039638,Minor Detected
2025-04-11 18:38:38.101854,Minor Detected
2025-04-11 18:38:38.168042,Minor Detected
2025-04-11 18:38:38.236067,Minor Detected
2025-04-11 18:38:38.300846,Minor Detected
2025-04-11 18:38:38.367389,Minor Detected
2025-04-11 18:38:38.436666,Minor Detected
2025-04-11 18:38:38.502199,Minor Detected
2025-04-11 18:38:38.570345,Minor Detected
2025-04-11 18:38:38.639064,Minor Detected
2025-04-11 18:38:38.701061,Minor Detected
2025-04-11 18:38:38.767047,Minor Detected
2025-04-11 18:38:38.836775,Minor Detected
2025-04-11 18:38:39.040062,Minor Detected
2025-04-11 18:38:39.101495,Minor Detected
2025-04-11 18:38:39.167673,Minor Detected
2025-04-11 18:38:39.236468,Minor Detected
2025-04-11 18:38:39.302301,Minor Detected
2025-04-11 18:38:39.370004,Minor Detected
2025-04-11 18:38:39.438761,Minor Detected
2025-04-11 18:38:39.502033,Minor Detected
2025-04-11 18:38:39.569850,Minor Detected
2025-04-11 18:38:39.637079,Minor Detected
2025-04-11 18:38:39.698345,Minor Detected
2025-04-11 18:38:39.768767,Minor Detected
2025-04-11 18:38:39.833442,Minor Detected
2025-04-11 18:38:39.900730,Minor Detected
2025-04-11 18:38:39.971753,Minor Detected
2025-04-11 18:38:40.037929,Minor Detected
2025-04-11 18:38:40.101520,Minor Detected
2025-04-11 18:38:40.169556,Minor Detected
2025-04-11 18:38:40.229632,Minor Detected
2025-04-12 08:19:41.819124,Minor Detected
2025-04-12 08:19:47.324525,Minor Detected
2025-04-12 08:19:47.381137,Minor Detected
2025-04-12 08:19:47.911090,Minor Detected
2025-04-12 08:19:47.985597,Minor Detected
2025-04-12 08:19:48.066401,Minor Detected
2025-04-12 08:19:48.122853,Minor Detected
2025-04-12 08:19:48.199277,Minor Detected
2025-04-12 08:19:48.268961,Minor Detected
2025-04-12 08:19:48.338430,Minor Detected
2025-04-12 08:19:48.644015,Minor Detected
2025-04-12 08:19:48.855727,Minor Detected
2025-04-12 08:19:48.947738,Minor Detected
2025-04-12 08:19:49.078943,Minor Detected
2025-04-12 08:19:49.292337,Minor Detected
2025-04-12 08:19:49.368023,Minor Detected
2025-04-12 08:19:49.573298,Minor Detected
2025-04-12 08:19:49.650831,Minor Detected
2025-04-12 08:19:49.715393,Minor Detected
2025-04-12 08:19:49.774376,Minor Detected
2025-04-12 08:19:49.845922,Minor Detected
2025-04-12 08:19:49.929058,Minor Detected
2025-04-12 08:19:49.997854,Minor Detected
2025-04-12 08:19:50.070546,Minor Detected
2025-04-12 08:19:50.126210,Minor Detected
2025-04-12 08:19:50.284056,Minor Detected
2025-04-12 08:19:50.353142,Minor Detected
2025-04-12 08:19:51.085798,Minor Detected
2025-04-12 08:19:51.154691,Minor Detected
2025-04-12 08:19:51.226605,Minor Detected
2025-04-12 08:19:51.291866,Minor Detected
2025-04-12 08:19:51.503534,Minor Detected
2025-04-12 08:19:51.578004,Minor Detected
2025-04-12 08:19:51.658125,Minor Detected
2025-04-12 08:19:51.740846,Minor Detected
2025-04-12 08:19:51.882678,Minor Detected
2025-04-12 08:19:51.956114,Minor Detected
2025-04-12 08:19:52.011559,Minor Detected
2025-04-12 08:19:52.233327,Minor Detected
2025-04-12 08:19:52.589059,Minor Detected
2025-04-12 08:19:52.658940,Minor Detected
2025-04-12 08:19:52.731210,Minor Detected
2025-04-12 08:19:52.800099,Minor Detected
2025-04-12 08:19:52.871882,Minor Detected
2025-04-12 08:19:52.942911,Minor Detected
2025-04-12 08:19:53.014339,Minor Detected
2025-04-12 08:19:53.084785,Minor Detected
2025-04-12 08:19:53.157157,Minor Detected
2025-04-12 08:19:53.401136,Minor Detected
2025-04-12 08:19:53.471395,Minor Detected
2025-04-12 08:19:53.543691,Minor Detected
2025-04-12 08:19:54.109267,Minor Detected
2025-04-12 08:19:54.248129,Minor Detected
2025-04-12 08:19:54.320592,Minor Detected
2025-04-12 08:19:54.462799,Minor Detected
2025-04-12 08:19:54.531747,Minor Detected
2025-04-12 08:19:54.606066,Minor Detected
2025-04-12 08:19:54.674319,Minor Detected
2025-04-12 08:19:54.743550,Minor Detected
2025-04-12 08:19:54.816482,Minor Detected
2025-04-12 08:19:54.874780,Minor Detected
2025-04-12 08:19:54.964832,Minor Detected
2025-04-12 08:19:55.167735,Minor Detected
2025-04-12 08:19:55.243716,Minor Detected
2025-04-12 08:19:55.309988,Minor Detected
2025-04-12 08:19:55.382110,Minor Detected
2025-04-12 08:19:55.452324,Minor Detected
2025-04-12 08:19:55.522847,Minor Detected
2025-04-12 08:19:55.593389,Minor Detected
2025-04-12 08:19:55.733436,Minor Detected
2025-04-12 08:19:55.957849,Minor Detected
2025-04-12 08:19:56.060786,Minor Detected
2025-04-12 08:19:56.163000,Minor Detected
2025-04-12 08:19:56.228801,Minor Detected
2025-04-12 08:19:56.714447,Minor Detected
2025-04-12 08:19:57.002269,Minor Detected
2025-04-12 08:19:57.104062,Minor Detected
2025-04-12 08:19:57.177674,Minor Detected
2025-04-12 08:19:57.385328,Minor Detected
2025-04-12 08:19:57.470010,Minor Detected
2025-04-12 08:19:57.525551,Minor Detected
2025-04-12 08:19:57.596582,Minor Detected
2025-04-12 08:19:57.666617,Minor Detected
2025-04-12 08:19:58.094341,Minor Detected
2025-04-12 08:19:58.235779,Minor Detected
2025-04-12 08:19:59.329292,Minor Detected
2025-04-12 08:19:59.404368,Minor Detected
2025-04-12 08:19:59.472423,Minor Detected
2025-04-12 08:20:00.124533,Minor Detected
2025-04-12 08:20:00.232533,Minor Detected
2025-04-12 08:20:00.334136,Minor Detected
2025-04-12 08:20:01.026008,Minor Detected
2025-04-12 08:20:01.170115,Minor Detected
2025-04-12 08:20:01.592835,Minor Detected
2025-04-12 08:20:01.954928,Minor Detected
